date_key,date,year,quarter,month,week,dow,is_weekend,load_date,update_date
20240101,2024-01-01,2024,1,1,0,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240102,2024-01-02,2024,1,1,0,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240103,2024-01-03,2024,1,1,0,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240104,2024-01-04,2024,1,1,0,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240105,2024-01-05,2024,1,1,0,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240106,2024-01-06,2024,1,1,0,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240107,2024-01-07,2024,1,1,1,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240108,2024-01-08,2024,1,1,1,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240109,2024-01-09,2024,1,1,1,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240110,2024-01-10,2024,1,1,1,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240111,2024-01-11,2024,1,1,1,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240112,2024-01-12,2024,1,1,1,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240113,2024-01-13,2024,1,1,1,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240114,2024-01-14,2024,1,1,2,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240115,2024-01-15,2024,1,1,2,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240116,2024-01-16,2024,1,1,2,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240117,2024-01-17,2024,1,1,2,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240118,2024-01-18,2024,1,1,2,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240119,2024-01-19,2024,1,1,2,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240120,2024-01-20,2024,1,1,2,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240121,2024-01-21,2024,1,1,3,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240122,2024-01-22,2024,1,1,3,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240123,2024-01-23,2024,1,1,3,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240124,2024-01-24,2024,1,1,3,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240125,2024-01-25,2024,1,1,3,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240126,2024-01-26,2024,1,1,3,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240127,2024-01-27,2024,1,1,3,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240128,2024-01-28,2024,1,1,4,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240129,2024-01-29,2024,1,1,4,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240130,2024-01-30,2024,1,1,4,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240131,2024-01-31,2024,1,1,4,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240201,2024-02-01,2024,1,2,4,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240202,2024-02-02,2024,1,2,4,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240203,2024-02-03,2024,1,2,4,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240204,2024-02-04,2024,1,2,5,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240205,2024-02-05,2024,1,2,5,0,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240206,2024-02-06,2024,1,2,5,1,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240207,2024-02-07,2024,1,2,5,2,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240208,2024-02-08,2024,1,2,5,3,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240209,2024-02-09,2024,1,2,5,4,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240210,2024-02-10,2024,1,2,5,5,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20240211,2024-02-11,2024,1,2,6,6,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
